国家,学校分类,排名,成立年份,州省,title,学生人数,性质,城市,网址,rank,宗教信仰
加拿大,医博类大学,2,1827年,安大略,多伦多大学 ,"46,050",公立，男女合校,多伦多,www.utoronto.ca,20,无
,,,,,贵州大学 ,,,,,510,
美国,综合性大学,-*(3),1899*(2),德克萨斯州,德克萨斯州立大学 ,"37,979",公立，男女合校,圣马科斯,www.txstate.edu,509,无
"
美国
",,,,,路易斯安那州 ,,,,,508,
,,,,,新疆大学 ,,,,,507,
,,,,,四川农业大学 ,,,,,506,
美国,1:16*(3),USNEWS：120*(2),1898,伊利诺伊州,德保罗大学 ,,私立，男女合校*(3),芝加哥,中北部学院及学校协会（NCACS）*(3),505,天主
,,,,,太原理工大学 ,,,,,504,
美国,全国性大学,2*(2),1636*(1),马萨诸塞州,哈佛大学 ,"10,803",私立，男女合校,剑桥（马萨诸塞州）,www.harvard.edu,1,无
,,,,,广西大学 ,,,,,502,
加拿大,综合类大学,13,1911年,安大略省,劳里埃大学 ,"14,760",公立，男女合校,滑铁卢、布兰特福德、基奇纳,www.wlu.ca,503,无
,,,,,安徽大学 ,,,,,500,
美国,1%,RNP,1910,密西西比州,南密西西比大学 ,"14,551",公立，男女合校,哈蒂斯堡,综合性大学,501,无
"
英国
","
综合性大学
","
77
","
1843年
","
英格兰
",谢菲尔德哈莱姆大学 ,"
37,160
","
公立，男女合校
","
谢菲尔德
","
www.shu.ac.uk
",499,"
无
"
,,,,,东北林业大学 ,,,,,498,
美国,"12,722",RNP,1964,俄亥俄州,怀特州立大学 ,"17,070",公立，男女合校,戴顿,"4,348",497,无
"
澳大利亚
",,,,"
北领地
",乌鲁（北领地） ,,,,,495,
美国,全国性大学,USNEWS：216*(2),1881,南达科他州,南达科他州立大学 ,"12,589",公立，男女合校*(4),布鲁斯金,www.sdstate.edu,494,
加拿大,基础类大学,3,1967年,阿尔伯塔省,莱斯布里奇大学 ,"9,150",公立，男女合校,莱斯布里奇,www.uleth.ca,493,无
159,"20,760",,公立，男女合校,美国,伊利诺伊州立大学 ,无,诺摩尔,伊利诺伊州,"18,426",496,1857
,,,,,陕西师范大学 ,,,,,492,
加拿大,基础类大学,6,1964年,安大略省,川特大学 ,"8,321",公立，男女合校,彼得伯勒、奥沙瓦,www.trentu.ca,490,无
,,,,,云南大学 ,,,,,491,
美国,"14,334",202,1910,俄亥俄州,博林格林州立大学 ,"16,908",公立，男女合校,博林格林,"2,574",489,无
美国,"18,567",207,1903,密歇根州,西密歇根大学 ,"23,556",公立，男女合校,卡拉马祖,"4,989",487,无
美国,1:8*(3),USNEWS：9*(2),1838年,北卡罗来纳州,杜克大学 ,,私立，男女合校*(3),达勒姆,美国大学协会（AAU）南方常春藤隐藏常春藤*(1),21,无
"
美国
",,,,,圣地亚哥（加州） ,,,,,486,
美国,"6,824*(3)",132*(2),1935*(1),纽约州*(1),霍夫斯特拉大学 ,"10,814",私立，男女合校*(1),汉普斯特德*(1),"3,990*(3)",485,无
德国,综合性大学，可授予博士学位,,1765年*(1),,弗莱贝格工业大学 ,"5,600(2013年)*(4)",公立，男女合校,弗莱贝格,tu-freiberg.de,484,无
"
英国
","
综合性大学
","
98
","
1850年
","
英格兰
",索尔福德大学 ,"
21,755
","
公立，男女合校
","
索尔福德
","
www.salford.ac.uk
",482,"
无
"
美国,全国性大学,120*(3),1887年*(1),哥伦比亚特区,美国天主大学 ,"6,881",私立，男女合校,华盛顿,www.cua.edu*(6),481,天主教
"
英国
","
综合性大学
","
60
","
1970年
","
英格兰
",西英格兰大学 ,"
30,390
","
公立，男女合校
","
布里斯托
","
www.uwe.ac.uk
",480,"
无
"
加拿大,基础类大学,8,1865年,安大略省,湖首大学 ,"7,848",公立，男女合校,雷湾,www.lakeheadu.ca,483,无
"
英国
","
综合性大学
","
61
","
1843年
","
英格兰
",诺丁汉特伦特大学 ,"
27,930
","
公立，男女合校
","
诺丁汉
","
www.ntu.ac.uk
",478,"
无
"
美国,全国性大学,USNEWS：90*(2),1881,威斯康辛州,马凯特大学 ,"11,491",私立，男女合校*(3),密尔沃基,www.marquette.edu*(3),488,耶稣会
美国,"17,161",RNP,1957,密西西比州,奥克兰大学（美国） ,"20,711",公立，男女合校,罗切斯特,"3,550",479,无
,,,,,中国药科大学 ,,,,,475,
美国,"23,039",207,1907,北卡罗来纳州,东卡罗来纳大学 ,"28,289",公立，男女合校,格林维尔,"5,250",476,无
"
加拿大
","
综合类大学
","
15
","
1964年
","
安大略省
",布鲁克大学 ,"
15,467
","
公立，男女合校
","
圣凯瑟琳
","
www.brocku.ca
",473,"
无
"
英国,综合性大学,QS世界：3(5)；Times国内：9,1907年*(1),英格兰,伦敦大学学院 ,"28,430（含全日制与非全日制）*(2)",公立，男女合校,伦敦,www.ucl.ac.uk,22,无
,,,,,天津医科大学 ,,,,,472,
"
英国
","
综合性大学
","
84
","
1957年
","
英格兰
",布拉德福德大学 ,"
14,210
","
公立，男女合校
","
布拉德福德
","
www.brad.ac.uk
",470,"
无
"
,,,,,南昌大学 ,,,,,471,
156,"17,450",,公立，男女合校,美国,马萨诸塞大学洛厄尔分校 ,无,洛厄尔,马萨诸塞州,"13,266",474,1894
加拿大,综合类大学,12,1857年,安大略省,温莎大学 ,"13,668",公立，男女合校,温莎,www.uwindsor.ca,468,无
,,,,,华南师范大学 ,,,,,466,
,,,,,健康科学 ,,,,,465,
美国,全国性大学,61*(2),1841*(1),纽约州,福坦莫大学 ,"15,286",私立，男女合校,纽约市,www.fordham.edu,477,天主教
美国,综合性大学,46,1842年,宾夕法尼亚州,维拉诺瓦大学 ,"10,925",私立，男女合校,维拉诺瓦,www.villanova.edu,469,天主教
,,,,,暨南大学 ,,,,,464,
"
英国
","
综合性大学
","
101
","
1890年
","
英格兰
",格林威治大学 ,"
26,445
","
公立，男女合校
","
伦敦
","
www.gre.ac.uk
",461,"
无
"
美国,全国性大学,192*(2),1883*(1),北达科他州,北达科他大学 ,,公立，男女合校,大福克斯,www.und.edu,467,无
美国,1:20,RNP,1891,北卡罗来纳州,北卡罗来纳大学格林波若分校 ,"19,393",公立，男女合校,格林波若,北卡罗来纳大学系统,462,无
,,,,,西南交通大学 ,,,,,463,
"
英国
","
综合性大学
","
88
","
1828年
","
英格兰
",中央兰开夏大学 ,"
31,530
","
公立，男女合校
","
普雷斯顿
","
www.uclan.ac.uk
",458,"
无
"
,,,,,东北师范大学 ,,,,,459,
"
英国
","
综合性大学
","
50
","
1865年
","
英格兰
",牛津布鲁克斯大学 ,"
18,425
","
公立，男女合校
","
牛津
","
www.brookes.ac.uk
",457,"
无
"
,,,,,生物医学 ,,,,,455,
"
加拿大
","
综合类大学
","
4
","
1785年
","
新布伦瑞克省
",新布伦瑞克大学 ,"
10,638
","
公立，男女合校
","
弗雷德里克顿、圣约翰
","
www.unb.ca
",453,"
无
"
美国,综合性大学,RNP,1913,德克萨斯,德克萨斯大学埃尔帕索分校 ,-,公立，男女合校,埃尔帕索,www.utep.edu,454,无
美国,"25,471",RNP,1961,佛罗里达州,佛罗里达大西洋大学 ,"30,377",公立，男女合校,博卡拉顿,"4,906",456,无
美国,全国性大学,69*(3),1893 *(1),哥伦比亚特区,美利坚大学 ,"13,200",私立，男女合校,华盛顿,www.american.edu,460,基督
德国,综合性大学，可授予博士学位,,1970年*(1),,卡塞尔大学 ,"22,877(2014年) *(4)",公立，男女合校,卡塞尔,www.uni-kassel.de,451,无
美国,"12,037",198,1890,北达科他州,北达科他州立大学 ,"14,516",公立，男女合校,法戈,"2,479",450,无
德国,综合性大学，可授予博士学位,,1836年*(1),,开姆尼茨工业大学 ,"11,231(2013年)*(4)",公立，男女合校,开姆尼茨,www.tu-chemnitz.de,452,无
,,,,,西安电子科技大学 ,,,,,448,
"
英国
","
综合性大学
","
89
","
1970年
","
英格兰
",曼彻斯特都会大学 ,"
34,430
","
公立，男女合校
","
曼彻斯特
","
www.mmu.ac.uk
",445,"
无
"
,,,,,北京林业大学 ,,,,,446,
,,,,,北京工业大学 ,,,,,447,
,,,,,河海大学 ,,,,,444,
美国,"13,569",RNP,1963,密苏里州,密苏里大学圣路易斯分校 ,"16,763",公立，男女合校,圣路易斯,"3,194",443,无
,,,,,武汉理工大学 ,,,,,441,
美国,6% *(1),28*(3),公立，男女合校,纽约州,纽约市立大学亨特学院 ,市区*(2),Mine is the care of the future,纽约市,中部各州学院及学校协会（MSACS）,442,1870*(2)
美国,"13,031",216,1869,伊利诺伊州,南伊利诺伊大学卡本代尔分校 ,"17,292",公立，男女合校,卡本代尔,"4,261",440,无
